person,skill,level
Luca Taylor 46,NLP Advanced,Expert
Luca Taylor 46,React Advanced,Advanced
Luca Taylor 46,Azure (Intro),Beginner
Luca Taylor 46,Node.js for Finance,Intermediate
Luca Taylor 46,Snowflake for Healthcare,Intermediate
Luca Taylor 46,Redshift for Finance,Expert
Mateo Lopez 47,Node.js Fundamentals,Beginner
Mateo Lopez 47,NumPy Fundamentals,Intermediate
Mateo Lopez 47,NLP Fundamentals,Expert
Hana Lewis 48,Hadoop Fundamentals,Expert
Hana Lewis 48,REST APIs,Beginner
Hana Lewis 48,AWS,Beginner
Hana Lewis 48,Spark Streaming (Practical),Intermediate
Hana Lewis 48,PyTorch for Finance,Beginner
Liam Walker 49,React,Intermediate
Liam Walker 49,Linux (Intro),Intermediate
Liam Walker 49,SQL,Intermediate
Liam Walker 49,Apache Spark for Healthcare,Expert
Liam Walker 49,Statistics for Healthcare,Intermediate
Dylan Hall 50,Pandas Advanced,Advanced
Dylan Hall 50,Scikit-Learn,Expert
Dylan Hall 50,Go for Healthcare,Beginner
Dylan Hall 50,Python Advanced,Beginner
Dylan Hall 50,Azure for Finance,Intermediate
Nina Lee 51,PyTorch - Best Practices,Intermediate
Nina Lee 51,Data Visualization for Healthcare,Beginner
Nina Lee 51,Apache Spark (Practical),Beginner
Nina Lee 51,React (Practical),Expert
Nina Lee 51,REST APIs - Best Practices,Intermediate
Amir Clark 52,NLP for Healthcare,Intermediate
Amir Clark 52,Redshift,Intermediate
Amir Clark 52,TensorFlow Fundamentals,Advanced
Amir Clark 52,Microservices (Intro),Advanced
Dylan Green 53,React for Healthcare,Beginner
Dylan Green 53,NumPy for Healthcare,Expert
Dylan Green 53,TensorFlow for Healthcare,Expert
Sam Thomas 54,Probability (Intro),Expert
Sam Thomas 54,Scala - Best Practices,Beginner
Sam Thomas 54,Redshift (Intro),Beginner
Sam Thomas 54,PyTorch - Best Practices,Expert
Sam Thomas 54,Snowflake (Practical),Intermediate
Sam Thomas 54,Data Visualization for Healthcare,Intermediate
Rowan King 55,C++ for Healthcare,Beginner
Rowan King 55,Azure,Intermediate
Rowan King 55,REST APIs (Practical),Intermediate
Rowan King 55,Docker Fundamentals,Advanced
Jordan Allen 56,Time Series Advanced,Expert
Jordan Allen 56,Deep Learning (Practical),Intermediate
Jordan Allen 56,Kafka (Intro),Expert
Jordan Allen 56,PowerBI for Healthcare,Intermediate
Roshni Scott 57,ETL - Best Practices,Advanced
Roshni Scott 57,Linux - Best Practices,Beginner
Roshni Scott 57,Time Series for Healthcare,Advanced
Roshni Scott 57,PyTorch for Finance,Beginner
Roshni Scott 57,Scikit-Learn Advanced,Advanced
Parker Young 58,PyTorch for Healthcare,Intermediate
Parker Young 58,Java (Intro),Intermediate
Parker Young 58,CI/CD (Intro),Beginner
Parker Young 58,PyTorch for Finance,Intermediate
Parker Young 58,Azure for Finance,Advanced
Parker Young 58,CI/CD Fundamentals,Advanced
Dylan Allen 59,MLOps,Intermediate
Dylan Allen 59,Snowflake Advanced,Expert
Dylan Allen 59,Machine Learning Fundamentals,Beginner
Dylan Allen 59,Pandas for Healthcare,Intermediate
Dylan Allen 59,Cloud Computing for Finance,Expert
Dylan Allen 59,Data Visualization,Advanced
Priya Lee 60,React (Intro),Intermediate
Priya Lee 60,Node.js,Advanced
Priya Lee 60,Redshift (Intro),Intermediate
Priya Lee 60,BigQuery for Finance,Expert
Priya Lee 60,NumPy (Practical),Intermediate
Priya Lee 60,React (Practical),Expert
Lucas Green 61,Time Series for Finance,Advanced
Lucas Green 61,Probability - Best Practices,Advanced
Lucas Green 61,Computer Vision Fundamentals,Beginner
Lucas Green 61,Microservices (Intro),Advanced
Lucas Green 61,Kubernetes (Intro),Advanced
Lucas Green 61,ETL,Intermediate
Lucas Green 61,DBT Fundamentals,Expert
Noah Young 62,Machine Learning (Practical),Expert
Noah Young 62,Hadoop for Healthcare,Advanced
Noah Young 62,BigQuery Fundamentals,Beginner
Noah Young 62,GCP,Expert
Noah Young 62,Deep Learning for Finance,Expert
Noah Young 62,SQL (Intro),Advanced
Noah Young 62,Tableau for Healthcare,Intermediate
Li Garcia 63,Reinforcement Learning Fundamentals,Advanced
Li Garcia 63,PowerBI (Practical),Beginner
Li Garcia 63,SQL Fundamentals,Expert
Li Garcia 63,Snowflake,Advanced
Li Garcia 63,CI/CD Advanced,Intermediate
Casey Thomas 64,NumPy (Practical),Intermediate
Casey Thomas 64,Reinforcement Learning Advanced,Advanced
Casey Thomas 64,Statistics,Advanced
Casey Thomas 64,Kafka (Intro),Advanced
Casey Thomas 64,Spark Streaming for Finance,Intermediate
Reese Wang 65,Reinforcement Learning for Healthcare,Advanced
Reese Wang 65,Deep Learning (Practical),Advanced
Reese Wang 65,Computer Vision for Healthcare,Beginner
Reese Wang 65,Computer Vision (Practical),Expert
Reese Wang 65,Scikit-Learn for Healthcare,Expert
Anu Moore 66,Spark Streaming (Practical),Beginner
Anu Moore 66,NumPy for Healthcare,Advanced
Anu Moore 66,C++ - Best Practices,Expert
Anu Moore 66,Tableau (Practical),Beginner
Anu Moore 66,Reinforcement Learning (Intro),Expert
Mason Smith 67,GANs for Finance,Expert
Mason Smith 67,BigQuery Fundamentals,Intermediate
Mason Smith 67,BigQuery - Best Practices,Intermediate
Mason Smith 67,Python,Beginner
Mason Smith 67,Kubernetes - Best Practices,Advanced
Mason Smith 67,Kafka Fundamentals,Intermediate
Emma Lee 68,PowerBI for Finance,Expert
Emma Lee 68,Pandas (Practical),Intermediate
Emma Lee 68,Tableau for Healthcare,Advanced
Emma Lee 68,Azure Fundamentals,Advanced
Emma Lee 68,Cloud Computing Advanced,Intermediate
Emma Lee 68,MLOps,Expert
Parker Garcia 69,Redshift Advanced,Intermediate
Parker Garcia 69,Spark Streaming,Beginner
Parker Garcia 69,GCP Fundamentals,Advanced
Hana Lee 70,CI/CD Fundamentals,Intermediate
Hana Lee 70,Go for Healthcare,Beginner
Hana Lee 70,Reinforcement Learning for Healthcare,Expert
Hana Lee 70,REST APIs Advanced,Beginner
Hana Lee 70,Data Visualization (Intro),Intermediate
Hana Lee 70,React,Intermediate
Parker Martinez 71,Probability Fundamentals,Intermediate
Parker Martinez 71,Java Advanced,Beginner
Parker Martinez 71,Spark Streaming (Intro),Beginner
Logan King 72,CI/CD for Healthcare,Advanced
Logan King 72,Pandas,Expert
Logan King 72,REST APIs Fundamentals,Beginner
Logan King 72,Kubernetes for Healthcare,Intermediate
Logan King 72,Reinforcement Learning - Best Practices,Beginner
Logan King 72,Snowflake,Intermediate
Logan King 72,Scikit-Learn for Finance,Expert
Zoe Johnson 73,Java Advanced,Beginner
Zoe Johnson 73,Scikit-Learn for Healthcare,Beginner
Zoe Johnson 73,Probability Fundamentals,Intermediate
Zoe Johnson 73,Cloud Computing - Best Practices,Intermediate
Zoe Johnson 73,Tableau - Best Practices,Expert
Zoe Johnson 73,Scala Fundamentals,Intermediate
Zoe Johnson 73,GANs for Healthcare,Advanced
Harper Walker 74,TensorFlow for Healthcare,Advanced
Harper Walker 74,Microservices (Intro),Intermediate
Harper Walker 74,DBT - Best Practices,Intermediate
Harper Walker 74,Kafka (Intro),Expert
Harper Walker 74,AWS Advanced,Beginner
Harper Walker 74,Azure Fundamentals,Intermediate
Priya Thomas 75,ETL (Practical),Beginner
Priya Thomas 75,NLP Fundamentals,Expert
Priya Thomas 75,Node.js Fundamentals,Expert
Priya Thomas 75,Python Advanced,Beginner
Dylan Johnson 76,Node.js (Practical),Beginner
Dylan Johnson 76,PyTorch (Intro),Expert
Dylan Johnson 76,Java for Finance,Beginner
Li Jackson 77,Node.js Fundamentals,Advanced
Li Jackson 77,Kubernetes Advanced,Expert
Li Jackson 77,Time Series - Best Practices,Beginner
Li Jackson 77,REST APIs (Practical),Advanced
Li Jackson 77,Linux for Finance,Intermediate
Nina Patel 78,Time Series - Best Practices,Advanced
Nina Patel 78,REST APIs (Practical),Beginner
Nina Patel 78,NLP for Finance,Intermediate
Alex Walker 79,SQL Advanced,Beginner
Alex Walker 79,REST APIs - Best Practices,Beginner
Alex Walker 79,Node.js - Best Practices,Expert
Alex Walker 79,Apache Spark for Healthcare,Advanced
Riley Martinez 80,Machine Learning (Practical),Beginner
Riley Martinez 80,Hadoop,Intermediate
Riley Martinez 80,Cloud Computing for Healthcare,Expert
Riley Martinez 80,C++ (Intro),Advanced
Riley Martinez 80,Tableau Advanced,Expert
Riley Martinez 80,Deep Learning (Practical),Intermediate
Riley Martinez 80,Pandas Advanced,Expert
Drew Johnson 81,Microservices for Healthcare,Beginner
Drew Johnson 81,Snowflake,Beginner
Drew Johnson 81,Kafka Advanced,Intermediate
Drew Johnson 81,Probability,Advanced
Taylor Smith 82,NLP (Intro),Advanced
Taylor Smith 82,GCP Advanced,Intermediate
Taylor Smith 82,React for Finance,Intermediate
Taylor Smith 82,SQL (Intro),Expert
Taylor Smith 82,Azure Advanced,Expert
Taylor Smith 82,React Fundamentals,Expert
Taylor Smith 82,TensorFlow,Beginner
Emma Scott 83,Scikit-Learn (Practical),Advanced
Emma Scott 83,Docker,Advanced
Emma Scott 83,Python (Intro),Expert
Emma Scott 83,MLOps (Intro),Beginner
Emma Scott 83,Apache Spark Advanced,Advanced
Li Walker 84,Statistics (Practical),Beginner
Li Walker 84,Kubernetes (Practical),Beginner
Li Walker 84,Java (Intro),Beginner
Li Walker 84,REST APIs Advanced,Intermediate
Li Walker 84,C++ (Intro),Advanced
Li Walker 84,Data Visualization (Practical),Intermediate
Luca Hall 85,NumPy - Best Practices,Intermediate
Luca Hall 85,Scala Advanced,Beginner
Luca Hall 85,Redshift Advanced,Expert
Luca Hall 85,Redshift (Practical),Intermediate
Taylor King 86,Time Series,Beginner
Taylor King 86,Cloud Computing - Best Practices,Advanced
Taylor King 86,Kafka - Best Practices,Advanced
Taylor King 86,Hadoop Fundamentals,Expert
Nina Brown 87,Kafka (Intro),Intermediate
Nina Brown 87,Hadoop,Expert
Nina Brown 87,Apache Spark Fundamentals,Beginner
Nina Brown 87,Deep Learning for Healthcare,Expert
Nina Brown 87,MLOps for Finance,Beginner
Nina Brown 87,NLP - Best Practices,Beginner
Morgan Nguyen 88,Statistics for Finance,Advanced
Morgan Nguyen 88,Microservices Advanced,Advanced
Morgan Nguyen 88,NLP for Finance,Beginner
Morgan Nguyen 88,TensorFlow Fundamentals,Intermediate
Morgan Nguyen 88,Microservices for Healthcare,Expert
Amir Garcia 89,Statistics (Practical),Intermediate
Amir Garcia 89,Probability Fundamentals,Intermediate
Amir Garcia 89,GCP for Finance,Expert
Amir Garcia 89,Computer Vision for Healthcare,Expert
Amir Garcia 89,Apache Spark for Finance,Expert
Noah Nguyen 90,MLOps,Intermediate
Noah Nguyen 90,Statistics - Best Practices,Expert
Noah Nguyen 90,SQL (Intro),Advanced
Noah Nguyen 90,Scala Advanced,Beginner
Noah Nguyen 90,MLOps - Best Practices,Beginner
Liam Green 91,Apache Spark Advanced,Beginner
Liam Green 91,GANs (Practical),Beginner
Liam Green 91,AWS - Best Practices,Beginner
Alex Clark 92,Kafka (Intro),Intermediate
Alex Clark 92,Machine Learning for Healthcare,Intermediate
Alex Clark 92,Redshift for Healthcare,Expert
Alex Clark 92,MLOps for Healthcare,Advanced
Alex Clark 92,CI/CD for Healthcare,Advanced
Alex Clark 92,GANs Advanced,Advanced
Morgan Nguyen 93,NLP - Best Practices,Beginner
Morgan Nguyen 93,Linux (Practical),Expert
Morgan Nguyen 93,AWS (Practical),Advanced
Zoe Green 94,Airflow Fundamentals,Advanced
Zoe Green 94,Time Series (Intro),Intermediate
Zoe Green 94,React Advanced,Expert
Zoe Green 94,TensorFlow Fundamentals,Beginner
Zoe Green 94,BigQuery Fundamentals,Intermediate
Parker Lewis 95,CI/CD for Finance,Intermediate
Parker Lewis 95,REST APIs for Healthcare,Beginner
Parker Lewis 95,BigQuery - Best Practices,Advanced
Parker Lewis 95,Redshift for Finance,Advanced
Parker Lewis 95,Tableau Fundamentals,Beginner
Emma Green 96,JavaScript (Practical),Advanced
Emma Green 96,AWS (Practical),Expert
Emma Green 96,Snowflake for Finance,Beginner
Emma Green 96,NumPy Fundamentals,Intermediate
Emma Green 96,Machine Learning Advanced,Intermediate
Emma Green 96,Node.js - Best Practices,Intermediate
Emma Green 96,Scikit-Learn for Healthcare,Beginner
Taylor Nguyen 97,Cloud Computing,Advanced
Taylor Nguyen 97,Java - Best Practices,Beginner
Taylor Nguyen 97,NLP for Healthcare,Intermediate
Taylor Nguyen 97,PowerBI (Intro),Beginner
Taylor Nguyen 97,PyTorch (Practical),Expert
Taylor Nguyen 97,Hadoop - Best Practices,Advanced
Isabella Jackson 98,Azure for Healthcare,Beginner
Isabella Jackson 98,Kubernetes,Expert
Isabella Jackson 98,NLP (Intro),Advanced
Riley Nguyen 99,AWS,Expert
Riley Nguyen 99,NLP for Finance,Expert
Riley Nguyen 99,GCP (Intro),Beginner
Fatima Moore 100,NLP (Intro),Expert
Fatima Moore 100,Kubernetes - Best Practices,Advanced
Fatima Moore 100,Tableau Advanced,Beginner
Drew Clark 101,Node.js (Intro),Beginner
Drew Clark 101,Microservices - Best Practices,Expert
Drew Clark 101,BigQuery for Finance,Advanced
Avery Johnson 102,Spark Streaming Advanced,Advanced
Avery Johnson 102,Scala (Practical),Advanced
Avery Johnson 102,Docker for Healthcare,Advanced
Avery Johnson 102,Statistics,Intermediate
Rowan Scott 103,Machine Learning,Advanced
Rowan Scott 103,Reinforcement Learning for Finance,Advanced
Rowan Scott 103,Airflow for Healthcare,Intermediate
Rowan Scott 103,MLOps Advanced,Advanced
Rowan Scott 103,MLOps (Intro),Expert
Rowan Scott 103,DBT (Intro),Beginner
Rowan Scott 103,Hadoop - Best Practices,Intermediate
Wei Moore 104,AWS,Expert
Wei Moore 104,MLOps,Expert
Wei Moore 104,Linux (Practical),Intermediate
Wei Moore 104,MLOps (Intro),Intermediate
Wei Moore 104,Pandas (Practical),Beginner
Wei Moore 104,Deep Learning for Finance,Beginner
Riley Garcia 105,Machine Learning - Best Practices,Beginner
Riley Garcia 105,Scala for Healthcare,Expert
Riley Garcia 105,PowerBI Fundamentals,Expert
Riley Garcia 105,NumPy (Practical),Intermediate
Riley Garcia 105,PyTorch for Finance,Intermediate
Riley Garcia 105,Pandas for Finance,Intermediate
Riley Garcia 105,Go - Best Practices,Advanced
Noah Martinez 106,BigQuery (Practical),Beginner
Noah Martinez 106,Reinforcement Learning (Intro),Intermediate
Noah Martinez 106,PyTorch Advanced,Expert
Noah Martinez 106,Reinforcement Learning for Finance,Expert
Noah Martinez 106,Machine Learning for Finance,Expert
Sam Green 107,GANs Fundamentals,Beginner
Sam Green 107,SQL,Expert
Sam Green 107,GANs (Practical),Advanced
Isabella Thomas 108,NumPy,Beginner
Isabella Thomas 108,ETL (Intro),Beginner
Isabella Thomas 108,PyTorch (Practical),Advanced
Isabella Thomas 108,Data Visualization (Practical),Intermediate
Isabella Thomas 108,DBT (Intro),Advanced
Reese Lee 109,PowerBI for Finance,Advanced
Reese Lee 109,C++ Advanced,Advanced
Reese Lee 109,Scala Fundamentals,Advanced
Reese Lee 109,Java (Intro),Advanced
Reese Lee 109,Python (Practical),Expert
Reese Lee 109,Python (Intro),Advanced
Reese Lee 109,Kafka - Best Practices,Beginner
Mateo Kumar 110,NLP,Advanced
Mateo Kumar 110,Kafka,Beginner
Mateo Kumar 110,BigQuery Advanced,Beginner
Mateo Kumar 110,PyTorch - Best Practices,Advanced
Mateo Kumar 110,Airflow for Finance,Advanced
Mateo Kumar 110,Hadoop Fundamentals,Advanced
Mateo Kumar 110,DBT Advanced,Advanced
Nina Martin 111,Linux,Expert
Nina Martin 111,ETL (Practical),Advanced
Nina Martin 111,Deep Learning for Healthcare,Intermediate
Nina Martin 111,Data Visualization for Healthcare,Expert
Nina Martin 111,Deep Learning (Practical),Intermediate
Nina Martin 111,Microservices Advanced,Beginner
Nina Martin 111,Hadoop,Expert
Alex Hall 112,PyTorch (Practical),Intermediate
Alex Hall 112,Data Visualization for Healthcare,Advanced
Alex Hall 112,NumPy - Best Practices,Advanced
Alex Hall 112,Computer Vision,Intermediate
Alex Hall 112,Spark Streaming (Intro),Beginner
Alex Hall 112,GCP (Practical),Intermediate
Jamie Moore 113,Pandas,Expert
Jamie Moore 113,JavaScript for Healthcare,Beginner
Jamie Moore 113,PyTorch (Intro),Expert
Drew Young 114,Deep Learning - Best Practices,Advanced
Drew Young 114,Airflow Fundamentals,Beginner
Drew Young 114,Cloud Computing for Healthcare,Expert
Drew Young 114,Scala for Finance,Expert
Drew Young 114,SQL (Intro),Intermediate
Fatima Kumar 115,Scala Advanced,Beginner
Fatima Kumar 115,REST APIs (Practical),Beginner
Fatima Kumar 115,Go - Best Practices,Intermediate
Fatima Kumar 115,Pandas Fundamentals,Intermediate
Fatima Kumar 115,Redshift (Practical),Expert
Fatima Kumar 115,Microservices (Practical),Beginner
Charlie Hall 116,React for Healthcare,Advanced
Charlie Hall 116,ETL (Practical),Intermediate
Charlie Hall 116,PyTorch Fundamentals,Expert
Charlie Hall 116,Linux (Intro),Beginner
Charlie Hall 116,SQL Advanced,Beginner
Charlie Hall 116,JavaScript - Best Practices,Expert
Amir Moore 117,Spark Streaming,Intermediate
Amir Moore 117,Node.js - Best Practices,Intermediate
Amir Moore 117,DBT (Practical),Expert
